priority_rank,dbn,school_name,school_type,address,uhf_name,asthma_ed_rate,chronic_absenteeism_rate,enrollment,asthma_score,absenteeism_score,enrollment_score,priority_score,priority_tier
34,09X110,P.S. 110 Theodore Schoenfeld,Elementary,580 CROTONA PARK SOUTH,High Bridge - Morrisania,178.0,47.59036255,332.0,78.8,85.0,25.5,70.6,Tier 1 - Critical
35,10X033,P.S. 033 Timothy Dwight,Elementary,2424 JEROME AVENUE,Fordham - Bronx Park,132.4,49.70553589,849.0,39.7,89.2,94.8,70.5,Tier 1 - Critical
36,07X161,P.S. 161 Juan Ponce De Leon School,Elementary,628 TINTON AVENUE,Hunts Point - Mott Haven,192.3,41.86746979,332.0,94.1,67.8,25.5,69.9,Tier 1 - Critical
37,12X300,The School of Science and Applied Learning,Other,2050 PROSPECT AVENUE,Crotona - Tremont,171.9,48.2269516,423.0,57.7,86.0,60.7,69.6,Tier 1 - Critical
38,09X457,Sheridan Academy for Young Leaders,High School,1116 SHERIDAN AVENUE,High Bridge - Morrisania,178.0,40.49216843,447.0,78.8,62.6,65.2,69.6,Tier 1 - Critical
39,09X128,Mott Hall III,Other,580 CROTONA PARK SOUTH,High Bridge - Morrisania,178.0,47.95918274,294.0,78.8,85.3,18.5,69.4,Tier 1 - Critical
40,11X041,P.S. 041 Gun Hill Road,Elementary,3352 OLINVILLE AVENUE,Fordham - Bronx Park,132.4,49.06204987,693.0,39.7,88.1,87.8,68.7,Tier 1 - Critical
41,09X042,P.S. 042 Claremont,Elementary,1537 WASHINGTON AVENUE,Crotona - Tremont,171.9,51.38539124,397.0,57.7,90.9,42.1,67.9,Tier 1 - Critical
42,75X186,P186X Walter J. Damrosch School,Other,750 JENNINGS STREET,Hunts Point - Mott Haven,192.3,,,94.1,50.2,50.0,67.7,Tier 1 - Critical
43,75X811,P.S. X811,Elementary,1434 LONGFELLOW AVENUE,Hunts Point - Mott Haven,192.3,,,94.1,50.2,50.0,67.7,Tier 1 - Critical
44,75X754,J. M. Rapport School Career Development,Other,470 JACKSON AVENUE,Hunts Point - Mott Haven,192.3,,,94.1,50.2,50.0,67.7,Tier 1 - Critical
45,07X557,Mott Haven Community High School,High School,455 SOUTHERN BLVD,Hunts Point - Mott Haven,192.3,,,94.1,50.2,50.0,67.7,Tier 1 - Critical
46,09X063,P.S. 063 Author's Academy,Elementary,1260 FRANKLIN AVENUE,High Bridge - Morrisania,178.0,40.14778137,406.0,78.8,61.5,56.8,67.5,Tier 1 - Critical
47,09X250,Eximius College Preparatory Academy: A College Boa,High School,1363 FULTON AVENUE,High Bridge - Morrisania,178.0,42.97082138,377.0,78.8,72.4,34.6,67.4,Tier 1 - Critical
48,09X070,P.S. 070 Max Schoenfeld,Elementary,1691 WEEKS AVENUE,Crotona - Tremont,171.9,40.14598465,822.0,57.7,61.2,93.7,66.3,Tier 1 - Critical
49,09X263,Validus Preparatory Academy,High School,1595 BATHGATE AVENUE,Crotona - Tremont,171.9,56.49350739,308.0,57.7,96.9,21.0,66.0,Tier 1 - Critical
50,10X059,P.S. 059 The Community School of Technology,Elementary,2185 BATHGATE AVENUE,Crotona - Tremont,171.9,43.88489151,417.0,57.7,76.9,59.4,65.7,Tier 1 - Critical
51,10X020,"PS/MS 20 P.O.George J. Werdann, III",Other,3050 WEBSTER AVENUE,Fordham - Bronx Park,132.4,43.80069351,863.0,39.7,76.6,95.5,65.6,Tier 1 - Critical
52,07X670,Health Opportunities High School,High School,350 GERARD AVENUE,High Bridge - Morrisania,178.0,45.45454407,253.0,78.8,79.0,11.7,65.5,Tier 1 - Critical
53,12X684,Wings Academy,High School,1122 EAST 180 STREET,Crotona - Tremont,171.9,58.62068939,261.0,57.7,97.9,13.3,64.9,Tier 1 - Critical
54,07X049,P.S. 049 Willis Avenue,Elementary,383 EAST 139 STREET,Hunts Point - Mott Haven,192.3,34.46327591,531.0,94.1,29.7,75.9,64.7,Tier 1 - Critical
55,10X363,Academy For Personal Leadership And Excellence,High School,120 EAST 184 STREET,Fordham - Bronx Park,132.4,43.40723419,857.0,39.7,74.1,95.1,64.6,Tier 1 - Critical
56,11X078,P.S. 078 Anne Hutchinson,Elementary,1400 NEEDHAM AVENUE,Northeast Bronx,104.6,49.02507019,718.0,28.1,87.8,89.5,64.3,Tier 1 - Critical
57,10X246,P.S. 246 Poe Center,Elementary,2641 GRAND CONCOURSE,Fordham - Bronx Park,132.4,47.48490906,497.0,39.7,84.6,72.4,64.2,Tier 1 - Critical
58,09X449,Grant Avenue Elementary School,Elementary,250 EAST 164 STREET,High Bridge - Morrisania,178.0,40.36458206,384.0,78.8,62.2,36.7,63.8,Tier 1 - Critical
59,12X057,P.S. 057 Crescent,Elementary,2111 CROTONA AVENUE,Crotona - Tremont,171.9,43.13725662,408.0,57.7,72.7,57.3,63.6,Tier 2 - High
60,09X252,Mott Hall Bronx High School,High School,1595 BATHGATE AVENUE,Crotona - Tremont,171.9,48.95522308,335.0,57.7,87.4,26.7,63.4,Tier 2 - High
61,08X301,M.S. 301 Paul L. Dunbar,Middle School,890 CAULDWELL AVENUE,High Bridge - Morrisania,178.0,43.93063736,173.0,78.8,77.3,3.1,63.1,Tier 2 - High
62,07X030,P.S. 030 Wilton,Elementary,510 EAST 141 STREET,Hunts Point - Mott Haven,192.3,38.30334091,389.0,94.1,44.1,37.9,62.8,Tier 2 - High
63,09X022,J.H.S. 022 Jordan L. Mott,Middle School,270 EAST 167 STREET,High Bridge - Morrisania,178.0,41.9141922,303.0,78.8,68.2,19.6,62.7,Tier 2 - High
64,10X091,P.S. 091 Bronx,Elementary,2200 AQUEDUCT AVENUE,Crotona - Tremont,171.9,43.96984863,398.0,57.7,77.6,42.8,62.7,Tier 2 - High
65,10X280,P.S./M.S. 280 Mosholu Parkway,Middle School,3202 STEUBEN AVENUE,Fordham - Bronx Park,132.4,42.91609192,727.0,39.7,72.0,90.0,62.7,Tier 2 - High
66,11X111,P.S. 111 Seton Falls,Elementary,3740 BAYCHESTER AVENUE,Northeast Bronx,104.6,53.3482132,448.0,28.1,94.1,65.7,62.0,Tier 2 - High
67,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,Middle School,1220 GERARD AVENUE,High Bridge - Morrisania,178.0,34.09915543,827.0,78.8,29.0,94.1,62.0,Tier 2 - High
