priority_rank,dbn,school_name,school_type,address,uhf_name,asthma_ed_rate,chronic_absenteeism_rate,enrollment,asthma_score,absenteeism_score,enrollment_score,priority_score,priority_tier
151,08X100,P.S. 100 Isaac Clason,Elementary,800 TAYLOR AVENUE,Pelham - Throgs Neck,98.3,43.4322052,472.0,14.2,74.5,70.3,49.5,Tier 3 - Moderate
152,10X051,The Bronx STEM and Arts Academy,High School,695 EAST 182ND STREET,Crotona - Tremont,171.9,41.29032135,155.0,57.7,65.0,1.7,49.4,Tier 3 - Moderate
153,12X066,P.S. 066 School of Higher Expectations,Elementary,1001 JENNINGS STREET,Crotona - Tremont,171.9,33.39731216,521.0,57.7,28.0,75.2,49.3,Tier 3 - Moderate
154,08X036,P.S. 036 Unionport,Elementary,1070 CASTLE HILL AVENUE,Pelham - Throgs Neck,98.3,40.95890427,730.0,14.2,63.3,90.6,49.1,Tier 3 - Moderate
155,09X361,The Highbridge Green School,Other,200 West 167th Street,High Bridge - Morrisania,178.0,27.40384674,416.0,78.8,14.0,58.9,48.9,Tier 3 - Moderate
156,09X568,Young Women's Leadership School of the Bronx,Other,1865 MORRIS AVENUE,Crotona - Tremont,171.9,33.13492203,504.0,57.7,27.6,72.7,48.7,Tier 3 - Moderate
157,08X562,Blueprint Middle School,Middle School,1111 PUGSLEY AVENUE,Pelham - Throgs Neck,98.3,41.70854187,597.0,14.2,66.8,80.2,48.4,Tier 3 - Moderate
158,11X566,Pelham Gardens Middle School,Middle School,2545 GUNTHER AVENUE,Northeast Bronx,104.6,46.13003159,323.0,28.1,81.1,23.4,48.4,Tier 3 - Moderate
159,08X014,P.S. X014 Senator John Calandra,Elementary,3047 BRUCKNER BOULEVARD,Pelham - Throgs Neck,98.3,40.05235672,764.0,14.2,60.5,92.3,48.3,Tier 3 - Moderate
160,11X016,P.S. 016 Wakefield,Elementary,4550 CARPENTER AVENUE,Northeast Bronx,104.6,42.30769348,390.0,28.1,70.1,38.8,47.1,Tier 3 - Moderate
161,10X080,J.H.S. 080 The Mosholu Parkway,Middle School,149 EAST MOSHOLU PKWY N,Fordham - Bronx Park,132.4,36.39291382,621.0,39.7,36.0,82.9,46.8,Tier 3 - Moderate
162,09X117,I.S. 117 Joseph H. Wade,Middle School,1865 MORRIS AVENUE,Crotona - Tremont,171.9,38.08219147,365.0,57.7,43.0,32.5,46.8,Tier 3 - Moderate
163,08X448,Soundview Academy for Culture and Scholarship,High School,885 BOLTON AVENUE,Pelham - Throgs Neck,98.3,56.47058868,255.0,14.2,96.5,12.2,46.7,Tier 3 - Moderate
164,10X308,Bronx Dance Academy School,High School,3617 BAINBRIDGE AVENUE,Fordham - Bronx Park,132.4,42.23826599,277.0,39.7,69.2,15.4,46.6,Tier 3 - Moderate
165,12X478,The Cinema School,Other,1551 EAST 172ND STREET,Pelham - Throgs Neck,98.3,51.09717941,319.0,14.2,90.6,22.2,46.3,Tier 3 - Moderate
166,08X123,J.H.S. 123 James M. Kieran,Middle School,1025 MORRISON AVENUE,Pelham - Throgs Neck,98.3,41.09589005,511.0,14.2,64.0,74.5,46.2,Tier 3 - Moderate
167,75X469,P469X - The Bronx School for Continuous Learners,Other,3177 WEBSTER AVENUE,Fordham - Bronx Park,132.4,,,39.7,50.2,50.0,45.9,Tier 3 - Moderate
168,10X307,Luisa Pineiro Fuentes School of Science and Discov,Other,124 EAMES PLACE,Fordham - Bronx Park,132.4,,,39.7,50.2,50.0,45.9,Tier 3 - Moderate
169,11X253,Bronx High School for Writing and Communication Ar,High School,800 EAST GUN HILL ROAD,Fordham - Bronx Park,132.4,,,39.7,50.2,50.0,45.9,Tier 3 - Moderate
170,75X168,P.S. 168,Elementary,3050 WEBSTER AVENUE,Fordham - Bronx Park,132.4,,,39.7,50.2,50.0,45.9,Tier 3 - Moderate
171,09X323,Bronx Writing Academy,High School,270 EAST 167 STREET,High Bridge - Morrisania,178.0,35.37735748,212.0,78.8,32.2,7.0,45.8,Tier 3 - Moderate
172,10X340,P.S. 340,Elementary,25 WEST 195 STREET,Fordham - Bronx Park,132.4,36.25827789,604.0,39.7,34.3,81.1,45.8,Tier 3 - Moderate
173,10X213,Bronx Engineering and Technology Academy,High School,99 TERRACE VIEW AVENUE,Kingsbridge - Riverdale,44.8,56.3953476,344.0,3.0,95.8,30.1,45.5,Tier 4 - Lower
174,10X279,"P.S. 279 Captain Manuel Rivera, Jr.",Elementary,2100 WALTON AVENUE,Crotona - Tremont,171.9,26.36229706,679.0,57.7,11.5,86.4,45.0,Tier 4 - Lower
175,08X467,Mott Hall Community School,Other,650 HOLLYWOOD AVENUE,Pelham - Throgs Neck,98.3,49.29577637,284.0,14.2,88.5,16.6,44.4,Tier 4 - Lower
176,09X236,P.S. 236 Langston Hughes,Elementary,1871 WALTON AVENUE,Crotona - Tremont,171.9,37.31778336,343.0,57.7,38.5,29.2,44.3,Tier 4 - Lower
177,08X304,P.S. 304 Early Childhood School,Elementary,2750 LAFAYETTE AVENUE,Pelham - Throgs Neck,98.3,39.07849884,586.0,14.2,57.0,79.0,44.3,Tier 4 - Lower
178,07X343,Academy of Applied Mathematics and Technology,High School,345 BROOK AVENUE,Hunts Point - Mott Haven,192.3,24.56140327,285.0,94.1,7.7,17.1,44.1,Tier 4 - Lower
179,10X447,Creston Academy,High School,125 EAST 181 STREET,Crotona - Tremont,171.9,31.40877533,433.0,57.7,21.3,62.4,44.1,Tier 4 - Lower
180,10X386,School for Environmental Citizenship,Other,125 EAST 181 STREET,Crotona - Tremont,171.9,26.13065338,597.0,57.7,11.2,80.2,43.6,Tier 4 - Lower
181,10X284,Bronx School of Law and Finance,Other,99 TERRACE VIEW AVENUE,Kingsbridge - Riverdale,44.8,50.82872772,362.0,3.0,89.9,32.2,43.6,Tier 4 - Lower
182,10X546,Bronx Theatre High School,High School,99 TERRACE VIEW AVENUE,Kingsbridge - Riverdale,44.8,68.67469788,249.0,3.0,99.7,10.8,43.2,Tier 4 - Lower
183,11X180,M.S. 180 Dr. Daniel Hale Williams,Middle School,700 BAYCHESTER AVENUE,Northeast Bronx,104.6,35.78553772,802.0,28.1,33.2,93.0,43.2,Tier 4 - Lower
184,08X069,P.S. 069 Journey Prep School,Elementary,560 THIERIOT AVENUE,Pelham - Throgs Neck,98.3,38.97637939,508.0,14.2,56.6,73.8,43.1,Tier 4 - Lower
185,07X154,P.S. 154 Jonathan D. Hyatt,Elementary,333 EAST 135 STREET,Hunts Point - Mott Haven,192.3,25.0,240.0,94.1,8.4,9.3,42.8,Tier 4 - Lower
186,11X096,P.S. 096 Richard Rodgers,Elementary,2385 OLINVILLE AVENUE,Fordham - Bronx Park,132.4,29.63752747,938.0,39.7,18.5,97.2,42.7,Tier 4 - Lower
187,10X306,P.S. 306,Elementary,40 WEST TREMONT AVENUE,Crotona - Tremont,171.9,30.52884674,416.0,57.7,19.6,58.9,42.7,Tier 4 - Lower
188,08X131,J.H.S. 131 Albert Einstein,Middle School,885 BOLTON AVENUE,Pelham - Throgs Neck,98.3,44.02332306,343.0,14.2,78.0,29.2,42.7,Tier 4 - Lower
189,09X517,Frederick Douglass Academy III Secondary School,High School,3630 THIRD AVENUE,High Bridge - Morrisania,178.0,30.53435135,262.0,78.8,19.9,13.6,42.2,Tier 4 - Lower
190,11X462,Cornerstone Academy for Social Action Middle Schoo,Middle School,3441 STEENWICK AVENUE,Northeast Bronx,104.6,43.57542038,179.0,28.1,75.5,3.8,42.2,Tier 4 - Lower
191,10X331,The Bronx School of Young Leaders,Other,40 WEST TREMONT AVENUE,Crotona - Tremont,171.9,34.94623566,372.0,57.7,30.8,33.4,42.1,Tier 4 - Lower
192,09X163,P.S. 163 Arthur A. Schomburg,Elementary,2075 WEBSTER AVENUE,Crotona - Tremont,171.9,35.56851196,343.0,57.7,32.5,29.2,41.9,Tier 4 - Lower
193,10X207,P.S. 207,Elementary,3030 GODWIN TERRACE,Kingsbridge - Riverdale,44.8,42.55319214,423.0,3.0,71.0,60.7,41.7,Tier 4 - Lower
194,11X068,P.S. 068 Bronx,Elementary,4011 MONTICELLO AVENUE,Northeast Bronx,104.6,37.0370369,540.0,28.1,37.8,76.4,41.6,Tier 4 - Lower
195,75X176,P.S. X176,Elementary,750 BAYCHESTER AVENUE,Northeast Bronx,104.6,,,28.1,50.2,50.0,41.3,Tier 4 - Lower
196,75X723,P.S. 723,Elementary,3540 BIVONA STREET,Northeast Bronx,104.6,,,28.1,50.2,50.0,41.3,Tier 4 - Lower
197,75X596,P.S. X596,Elementary,850 BAYCHESTER AVENUE,Northeast Bronx,104.6,,,28.1,50.2,50.0,41.3,Tier 4 - Lower
198,10X046,P.S. 046 Edgar Allan Poe,Elementary,279 EAST 196 STREET,Fordham - Bronx Park,132.4,30.46757126,663.0,39.7,19.2,86.0,40.8,Tier 4 - Lower
199,10X015,P.S. X015 Institute for Environmental Learning,Elementary,2195 ANDREWS AVENUE,Crotona - Tremont,171.9,32.32323074,396.0,57.7,23.4,41.4,40.7,Tier 4 - Lower
200,10X391,The Angelo Patri Middle School,Middle School,2225 WEBSTER AVENUE,Crotona - Tremont,171.9,32.8083992,381.0,57.7,26.2,35.8,40.7,Tier 4 - Lower
201,12X316,Kappa III,Other,2055 MAPES AVENUE,Crotona - Tremont,171.9,36.76470566,272.0,57.7,36.7,14.7,40.7,Tier 4 - Lower
202,11X144,J.H.S. 144 Michelangelo,Middle School,2545 GUNTHER AVENUE,Northeast Bronx,104.6,38.53658676,410.0,28.1,44.4,57.7,40.6,Tier 4 - Lower
203,08X392,Bronx Delta School,Other,650 HOLLYWOOD AVENUE,Pelham - Throgs Neck,98.3,38.83720779,430.0,14.2,56.3,61.7,40.5,Tier 4 - Lower
204,07X298,Academy of Public Relations,High School,778 FOREST AVENUE,High Bridge - Morrisania,178.0,31.29251671,147.0,78.8,21.0,1.0,40.1,Tier 4 - Lower
205,12X061,P.S. 061 Francisco Oller,Elementary,1550 CROTONA PARK EAST,Crotona - Tremont,171.9,37.43589783,195.0,57.7,39.9,5.2,40.1,Tier 4 - Lower
206,11X106,P.S. 106 Parkchester,Elementary,1514 OLMSTEAD AVENUE,Pelham - Throgs Neck,98.3,36.87150955,895.0,14.2,37.4,96.5,39.9,Tier 4 - Lower
207,10X054,P.S./I.S. 54,Middle School,2703 WEBSTER AVENUE,Fordham - Bronx Park,132.4,37.96791458,374.0,39.7,42.0,33.9,39.4,Tier 4 - Lower
208,10X310,P.S. 310 Marble Hill,Elementary,260 W KINGSBRIDGE RD,Kingsbridge - Riverdale,44.8,39.91507339,471.0,3.0,60.1,69.9,39.2,Tier 4 - Lower
209,09X088,P.S. X088 - S. Silverstein Little Sparrow School,Elementary,1340 SHERIDAN AVENUE,High Bridge - Morrisania,178.0,29.80769157,104.0,78.8,18.9,0.3,39.2,Tier 4 - Lower
210,12X211,P.S. 211,Elementary,1919 PROSPECT AVENUE,Crotona - Tremont,171.9,36.36363602,209.0,57.7,35.7,6.5,38.6,Tier 4 - Lower
211,09X170,P.S. 170,Elementary,1598 TOWNSEND AVENUE,High Bridge - Morrisania,178.0,28.94736862,152.0,78.8,16.8,1.4,38.5,Tier 4 - Lower
212,12X388,Pan American International High School at Monroe,High School,1300 BOYNTON AVENUE,Pelham - Throgs Neck,98.3,40.35989761,389.0,14.2,61.9,37.9,38.0,Tier 4 - Lower
213,10X254,I.S. 254,Middle School,2452 WASHINGTON AVENUE,Fordham - Bronx Park,132.4,31.63716888,452.0,39.7,22.0,66.4,38.0,Tier 4 - Lower
214,12X521,The Metropolitan Soundview High School,High School,1300 BOYNTON AVENUE,Pelham - Throgs Neck,98.3,38.70967865,403.0,14.2,55.6,50.0,37.9,Tier 4 - Lower
215,08X071,P.S. 071 Rose E. Scala,Elementary,3040 ROBERTS AVENUE,Pelham - Throgs Neck,98.3,34.85513687,1139.0,14.2,30.4,97.9,37.4,Tier 4 - Lower
216,12X047,P.S. 047 John Randolph,Elementary,1794 EAST 172 STREET,Pelham - Throgs Neck,98.3,35.02304077,868.0,14.2,31.5,95.8,37.4,Tier 4 - Lower
217,10X237,"The Marie Curie School for Medicine, Nursing, and",Other,120 WEST 231 STREET,Kingsbridge - Riverdale,44.8,45.99303055,287.0,3.0,80.8,17.8,37.1,Tier 4 - Lower
218,09X231,Eagle Academy for Young Men,High School,4143 THIRD AVENUE,Crotona - Tremont,171.9,17.06783295,457.0,57.7,1.4,67.1,37.1,Tier 4 - Lower
219,08X119,The Dr. Emmett W. Bassett School,Other,1075 PUGSLEY AVENUE,Pelham - Throgs Neck,98.3,37.34513092,565.0,14.2,38.8,78.3,36.8,Tier 4 - Lower
220,12X129,M.S. 129 Academy for Independent Learning and Lead,Middle School,2055 MAPES AVENUE,Crotona - Tremont,171.9,32.80632401,253.0,57.7,25.9,11.7,35.8,Tier 4 - Lower
221,75X012,P.S. X012 Lewis and Clark School,Elementary,2555 TRATMAN AVENUE,Pelham - Throgs Neck,98.3,,,14.2,50.2,50.0,35.7,Tier 4 - Lower
222,75X721,P.S. X721 - Stephen McSweeney School,Elementary,2697 WESTCHESTER AVENUE,Pelham - Throgs Neck,98.3,,,14.2,50.2,50.0,35.7,Tier 4 - Lower
223,08X537,Bronx Arena High School,High School,1440 STORY AVENUE,Pelham - Throgs Neck,98.3,,,14.2,50.2,50.0,35.7,Tier 4 - Lower
224,75X010,P.S. X010,Elementary,2750 LAFAYETTE AVENUE,Pelham - Throgs Neck,98.3,,,14.2,50.2,50.0,35.7,Tier 4 - Lower
225,75M401,Hospital Schools,Other,3450 EAST TREMONT AVENUE,Pelham - Throgs Neck,98.3,,,14.2,50.2,50.0,35.7,Tier 4 - Lower
226,75M501,Home Instruction,Other,3450 EAST TREMONT AVENUE,Pelham - Throgs Neck,98.3,,,14.2,50.2,50.0,35.7,Tier 4 - Lower
227,11X181,I.S. 181 Pablo Casals,Middle School,800 BAYCHESTER AVENUE,Northeast Bronx,104.6,32.02357483,509.0,28.1,22.7,74.1,35.2,Tier 4 - Lower
228,10X226,P.S. 226,Elementary,1950 SEDGWICK AVENUE,Crotona - Tremont,171.9,28.36257362,342.0,57.7,15.7,28.1,35.0,Tier 4 - Lower
229,09X215,Kappa,Other,3630 THIRD AVENUE,High Bridge - Morrisania,178.0,23.60248375,161.0,78.8,5.9,2.1,34.3,Tier 4 - Lower
230,11X418,Bronx High School for the Visual Arts,High School,2040 ANTIN PL,Pelham - Throgs Neck,98.3,37.6744194,430.0,14.2,40.6,61.7,34.2,Tier 4 - Lower
231,09X365,Academy for Language and Technology,High School,1700 MACOMBS ROAD,Crotona - Tremont,171.9,25.78947449,380.0,57.7,10.1,35.1,34.2,Tier 4 - Lower
232,12X196,P.S. 196,Elementary,1250 WARD AVENUE,Pelham - Throgs Neck,98.3,32.66128922,744.0,14.2,25.2,91.3,34.0,Tier 4 - Lower
233,12X531,Archer Elementary School,Elementary,1827 ARCHER STREET,Crotona - Tremont,171.9,27.27272797,341.0,57.7,12.9,27.6,33.8,Tier 4 - Lower
234,10X360,P.S. 360,Elementary,2880 KINGSBRIDGE TERRACE,Kingsbridge - Riverdale,44.8,42.62295151,305.0,3.0,71.3,20.1,33.7,Tier 4 - Lower
235,11X194,P.S./M.S. 194,Middle School,2365 WATERBURY AVENUE,Pelham - Throgs Neck,98.3,31.2148037,1243.0,14.2,20.6,98.6,33.6,Tier 4 - Lower
236,09X232,I.S. 232,Middle School,1700 MACOMBS ROAD,Crotona - Tremont,171.9,29.39068031,279.0,57.7,18.2,15.7,33.5,Tier 4 - Lower
237,07X359,Concourse Village Elementary School,Elementary,750 CONCOURSE VILLAGE WEST,High Bridge - Morrisania,178.0,7.339449406,218.0,78.8,0.3,8.0,33.3,Tier 4 - Lower
238,11X021,P.S. 021 Philip H. Sheridan,Elementary,715 EAST 225 STREET,Northeast Bronx,104.6,30.6866951,466.0,28.1,20.3,68.2,33.0,Tier 4 - Lower
239,10X390,M.S. 390,Middle School,1930 ANDREWS AVENUE,Crotona - Tremont,171.9,26.12612534,333.0,57.7,10.8,26.2,32.7,Tier 4 - Lower
240,11X455,Harry S Truman High School,High School,750 BAYCHESTER AVENUE,Northeast Bronx,104.6,21.4285717,1806.0,28.1,3.5,100.0,32.7,Tier 4 - Lower
241,12X458,Samara Community School,Other,1550 VYSE AVENUE,Crotona - Tremont,171.9,25.14619827,342.0,57.7,9.4,28.1,32.5,Tier 4 - Lower
242,12X242,Mott Hall V,Other,1551 EAST 172ND STREET,Pelham - Throgs Neck,98.3,32.3262825,662.0,14.2,23.8,85.5,32.3,Tier 4 - Lower
243,11X169,Baychester Academy,High School,3500 EDSON AVENUE,Northeast Bronx,104.6,36.12565613,382.0,28.1,33.6,36.4,32.0,Tier 4 - Lower
244,11X189,Cornerstone Academy for Social Action,High School,3441 STEENWICK AVENUE,Northeast Bronx,104.6,37.97909546,287.0,28.1,42.3,17.8,31.8,Tier 4 - Lower
245,10X397,English Language Learners and International Suppor,Other,99 TERRACE VIEW AVENUE,Kingsbridge - Riverdale,44.8,,,3.0,50.2,50.0,31.3,Tier 4 - Lower
246,12X195,P.S. 195,Elementary,1250 WARD AVENUE,Pelham - Throgs Neck,98.3,29.01960754,765.0,14.2,17.1,92.7,31.0,Tier 4 - Lower
247,08X583,P.S. 583,Elementary,1028 WHITE PLAINS ROAD,Pelham - Throgs Neck,98.3,33.47826004,460.0,14.2,28.3,67.8,30.6,Tier 4 - Lower
248,11X127,J.H.S. 127 The Castle Hill,Middle School,1560 PURDY STREET,Pelham - Throgs Neck,98.3,27.41358757,839.0,14.2,14.3,94.4,30.3,Tier 4 - Lower
249,09X303,I.S. X303 Leadership & Community Service,Middle School,1700 MACOMBS ROAD,Crotona - Tremont,171.9,24.50980377,306.0,57.7,7.3,20.6,30.1,Tier 4 - Lower
250,12X691,Bronx Little School,Other,1827 ARCHER STREET,Crotona - Tremont,171.9,21.5339241,339.0,57.7,3.8,27.3,30.1,Tier 4 - Lower
251,10X209,P.S. 209,Elementary,313 EAST 183RD STREET,Crotona - Tremont,171.9,28.5714283,168.0,57.7,16.1,2.8,30.1,Tier 4 - Lower
252,08X337,The School for Inquiry and Social Justice,Other,1025 MORRISON AVENUE,Pelham - Throgs Neck,98.3,35.64356613,404.0,14.2,32.9,56.1,30.0,Tier 4 - Lower
253,11X019,P.S. 019 Judith K. Weiss,Elementary,4318 KATONAH AVENUE,Northeast Bronx,104.6,17.09401703,702.0,28.1,1.7,88.1,29.6,Tier 4 - Lower
254,10X315,P.S. 315 Lab School,Elementary,2865 CLAFLIN AVENUE,Fordham - Bronx Park,132.4,34.56221008,217.0,39.7,30.1,7.7,29.4,Tier 4 - Lower
255,11X083,P.S. 083 Donald Hertz,Elementary,950 RHINELANDER AVENUE,Pelham - Throgs Neck,98.3,25.14249611,1579.0,14.2,9.1,99.7,29.2,Tier 4 - Lower
256,12X536,P.S. 536,Elementary,1827 ARCHER STREET,Crotona - Tremont,171.9,21.54340744,311.0,57.7,4.2,21.3,29.0,Tier 4 - Lower
257,11X483,The Matilda Avenue School,Other,4520 MATILDA AVENUE,Northeast Bronx,104.6,36.328125,256.0,28.1,35.3,12.6,27.9,Tier 4 - Lower
258,12X550,High School of World Cultures,High School,1300 BOYNTON AVENUE,Pelham - Throgs Neck,98.3,32.77511978,418.0,14.2,25.5,60.0,27.9,Tier 4 - Lower
259,10X206,I.S. 206 Ann Mersereau,Middle School,2280 AQUEDUCT AVENUE,Fordham - Bronx Park,132.4,31.78294563,258.0,39.7,22.4,12.9,27.4,Tier 4 - Lower
260,11X087,P.S. 087 Bronx,Elementary,1935 BUSSING AVENUE,Northeast Bronx,104.6,32.47126389,348.0,28.1,24.5,30.6,27.2,Tier 4 - Lower
261,10X396,P.S. 396,Elementary,1930 ANDREWS AVENUE,Crotona - Tremont,171.9,22.4066391,241.0,57.7,4.9,9.8,27.0,Tier 4 - Lower
262,11X153,P.S. 153 Helen Keller,Elementary,650 BAYCHESTER AVENUE,Northeast Bronx,104.6,22.92576408,458.0,28.1,5.2,67.5,26.8,Tier 4 - Lower
263,10X244,The New School for Leadership and Journalism,Other,120 WEST 231 STREET,Kingsbridge - Riverdale,44.8,32.03252029,615.0,3.0,23.1,82.2,26.8,Tier 4 - Lower
264,11X468,Pelham Academy of Academics and Community Engageme,High School,2441 WALLACE AVENUE,Fordham - Bronx Park,132.4,29.19463158,298.0,39.7,17.8,18.9,26.8,Tier 4 - Lower
265,10X228,Jonas Bronck Academy,High School,400 EAST FORDHAM ROAD,Fordham - Bronx Park,132.4,18.939394,396.0,39.7,2.8,41.4,25.3,Tier 4 - Lower
266,11X514,The Bronxwood Preparatory Academy,High School,921 EAST 228TH STREET,Northeast Bronx,104.6,20.74592018,429.0,28.1,3.1,61.2,24.8,Tier 4 - Lower
267,08X101,M.S. X101 Edward R. Byrne,Middle School,2750 LAFAYETTE AVENUE,Pelham - Throgs Neck,98.3,24.14966011,588.0,14.2,7.0,79.4,24.3,Tier 4 - Lower
268,11X567,Linden Tree Elementary School,Elementary,1560 PURDY STREET,Pelham - Throgs Neck,98.3,34.95701981,349.0,14.2,31.1,31.1,24.3,Tier 4 - Lower
269,11X498,P.S./M.S. 11X498 - Van Nest Academy,Middle School,1640 BRONXDALE AVE,Pelham - Throgs Neck,98.3,23.57723618,615.0,14.2,5.6,82.2,24.3,Tier 4 - Lower
270,10X696,High School of American Studies at Lehman College,High School,2925 GOULDEN AVENUE,Fordham - Bronx Park,132.4,7.848101139,395.0,39.7,0.7,40.7,24.3,Tier 4 - Lower
271,11X108,P.S. 108 Philip J. Abinanti,Elementary,1166 NEILL AVENUE,Pelham - Throgs Neck,98.3,18.28410721,711.0,14.2,2.1,88.5,24.2,Tier 4 - Lower
272,11X249,Bronx Health Sciences High School,High School,750 BAYCHESTER AVENUE,Northeast Bronx,104.6,28.80886459,361.0,28.1,16.4,31.8,24.2,Tier 4 - Lower
273,10X368,In-Tech Academy (M.S. / High School 368),High School,2975 TIBBETT AVENUE,Kingsbridge - Riverdale,44.8,24.92462349,995.0,3.0,8.0,97.6,23.9,Tier 4 - Lower
274,11X178,P.S. 178 - Dr. Selman Waksman,Elementary,850 BAYCHESTER AVENUE,Northeast Bronx,104.6,28.03234482,371.0,28.1,15.0,32.9,23.8,Tier 4 - Lower
275,08X371,Urban Institute of Mathematics,Other,650 HOLLYWOOD AVENUE,Pelham - Throgs Neck,98.3,31.59203911,402.0,14.2,21.7,43.9,23.1,Tier 4 - Lower
276,10X081,P.S. 081 Robert J. Christen,Elementary,5550 RIVERDALE AVENUE,Kingsbridge - Riverdale,44.8,24.11444092,734.0,3.0,6.6,90.9,22.0,Tier 4 - Lower
277,10X141,Riverdale / Kingsbridge Academy (Middle School / H,Middle School,660 WEST 237 STREET,Kingsbridge - Riverdale,44.8,18.87719345,1425.0,3.0,2.4,99.3,22.0,Tier 4 - Lower
278,10X159,P.S. 159 Luis Munoz Marin Biling,Elementary,2315 WASHINGTON AVENUE,Fordham - Bronx Park,132.4,27.39726067,146.0,39.7,13.6,0.7,21.5,Tier 4 - Lower
279,11X357,Young Voices Academy of the Bronx,High School,800 LYDIG AVENUE,Pelham - Throgs Neck,98.3,27.29528618,403.0,14.2,13.3,50.0,21.0,Tier 4 - Lower
280,11X513,New World High School,High School,921 EAST 228TH STREET,Northeast Bronx,104.6,25.92592621,324.0,28.1,10.5,24.0,20.2,Tier 4 - Lower
281,10X024,P.S. 024 Spuyten Duyvil,Elementary,660 WEST 236 STREET,Kingsbridge - Riverdale,44.8,12.847682,755.0,3.0,1.0,92.0,20.0,Tier 4 - Lower
282,11X160,P.S. 160 Walt Disney,Elementary,4140 HUTCHINSON RIVER PKWAY EA,Northeast Bronx,104.6,25.24590111,305.0,28.1,9.8,20.1,19.2,Tier 4 - Lower
283,10X477,Marble Hill High School for International Studies,High School,99 TERRACE VIEW AVENUE,Kingsbridge - Riverdale,44.8,29.03225899,403.0,3.0,17.5,50.0,18.2,Tier 4 - Lower
284,11X481,The STEAM Bridge School,Other,1684 WHITE PLAINS ROAD,Pelham - Throgs Neck,98.3,28.22299576,287.0,14.2,15.4,17.8,15.4,Tier 4 - Lower
285,11X175,P.S. 175 City Island,Elementary,200 CITY ISLAND AVENUE,Pelham - Throgs Neck,98.3,26.4285717,280.0,14.2,11.9,16.1,13.6,Tier 4 - Lower
286,10X007,Milton Fein School,Other,3201 KINGSBRIDGE AVENUE,Kingsbridge - Riverdale,44.8,22.25063896,391.0,3.0,4.5,39.5,10.9,Tier 4 - Lower
