dbn,school_name,has_mshp,propensity_score,ps_quintile,chronic_absenteeism_rate
11X103,P.S. 103 Hector Fontanez,False,0.2049809853146491,Q1,43.70034027
11X105,P.S. 105 Sen Abraham Bernstein,True,0.20090552294863556,Q1,47.73040009
11X106,P.S. 106 Parkchester,False,0.21686902824555504,Q2,36.87150955
08X107,P.S. 107,False,0.21377701195472545,Q1,46.78492355
11X108,P.S. 108 Philip J. Abinanti,False,0.22534179079801012,Q3,18.28410721
09X109,P.S. 109 Sedgwick,False,0.21725738559147756,Q2,50.32966995
09X110,P.S. 110 Theodore Schoenfeld,False,0.2214177003803144,Q2,47.59036255
11X111,P.S. 111 Seton Falls,False,0.23650821986038356,Q3,53.3482132
11X112,P.S. 112 Bronxwood,False,0.2372644238791064,Q4,46.98492432
09X114,P.S. X114 - Luis Llorens Torres Schools,False,0.21050370681944708,Q1,41.11111069
09X117,I.S. 117 Joseph H. Wade,False,0.2189882486136662,Q2,38.08219147
10X118,J.H.S. 118 William W. Niles,False,0.21090198348154926,Q1,34.23077011
08X119,The Dr. Emmett W. Bassett School,False,0.209536519936254,Q1,37.34513092
11X121,P.S. 121 Throop,False,0.2652333317801175,Q5,39.90825653
08X123,J.H.S. 123 James M. Kieran,False,0.21917923543478948,Q2,41.09589005
09X126,P.S. 126 Dr Marjorie H Dunbar,False,0.2035959530767744,Q1,52.4054985
11X127,J.H.S. 127 The Castle Hill,False,0.21732975579603375,Q2,27.41358757
09X128,Mott Hall III,False,0.23292537551734405,Q3,47.95918274
12X129,M.S. 129 Academy for Independent Learning and Lead,False,0.2251454666106094,Q3,32.80632401
08X130,P.S. 130 Abram Stevens Hewitt,False,0.21845795222949035,Q2,43.37349319
08X131,J.H.S. 131 Albert Einstein,False,0.23837972255278939,Q4,44.02332306
09X132,P.S. 132 Garret A. Morgan,False,0.22337460571104403,Q2,58.0
12X134,P.S. 134 George F. Bristow,False,0.19634837305652755,Q1,42.49011993
08X138,P.S. 138 Samuel Randall,False,0.2222918777352215,Q2,53.05755234
08X140,P.S. X140 The Eagle School,False,0.21907570823165604,Q2,53.84615326
10X141,Riverdale / Kingsbridge Academy (Middle School / H,False,0.323494910251752,Q5,18.87719345
11X144,J.H.S. 144 Michelangelo,False,0.266851073317802,Q5,38.53658676
08X146,P.S. 146 Edward Collins,False,0.2222269294006132,Q2,40.80996704
12X150,P.S. 150 Charles James Fox,False,0.19664223114065313,Q1,46.58273315
08X152,P.S. 152 Evergreen,False,0.2026904654534562,Q1,43.46630096
11X153,P.S. 153 Helen Keller,False,0.2755505409123361,Q5,22.92576408
07X154,P.S. 154 Jonathan D. Hyatt,False,0.21485400026771612,Q1,25.0
07X157,P.S. 157 Grove Hill,False,0.21545182168300175,Q2,35.26570129
10X159,P.S. 159 Luis Munoz Marin Biling,False,0.28332406805678767,Q5,27.39726067
11X160,P.S. 160 Walt Disney,False,0.28055076234618637,Q5,25.24590111
07X161,P.S. 161 Juan Ponce De Leon School,False,0.2103144820342177,Q1,41.86746979
09X163,P.S. 163 Arthur A. Schomburg,False,0.21852461584030078,Q2,35.56851196
11X169,Baychester Academy,False,0.2595924478822671,Q5,36.12565613
09X170,P.S. 170,False,0.25869344162727614,Q5,28.94736862
11X175,P.S. 175 City Island,False,0.3065297077359597,Q5,26.4285717
11X178,P.S. 178 - Dr. Selman Waksman,False,0.2604945166844074,Q5,28.03234482
07X179,P.S. 179,False,0.22038197578064045,Q2,37.82608795
11X180,M.S. 180 Dr. Daniel Hale Williams,False,0.23782787438117184,Q4,35.78553772
11X181,I.S. 181 Pablo Casals,False,0.2550246638070752,Q4,32.02357483
08X182,P.S. 182,False,0.236185374708663,Q3,46.81818008
11X189,Cornerstone Academy for Social Action,False,0.26312995559538527,Q5,37.97909546
12X190,E.S.M.T- I.S. 190,False,0.2288985786339071,Q3,43.20987701
11X194,P.S./M.S. 194,False,0.18245329161246124,Q1,31.2148037
12X195,P.S. 195,False,0.20694379467268098,Q1,29.01960754
