dbn,school_name,school_type,enrollment,uhf_name,lat,lon,chronic_absenteeism_rate,asthma_ed_rate,svi_overall,svi_socioeconomic,distance_to_nearest_mshp_miles,accessibility_tier,asthma_score,absenteeism_score,enrollment_score,svi_score,isolation_score,enhanced_priority_score,enhanced_priority_rank,enhanced_priority_tier
07X161,P.S. 161 Juan Ponce De Leon School,Elementary,332.0,Hunts Point - Mott Haven,40.814168,-73.905233,41.86746979,192.3,0.9125,0.95,0.42851935498982546,Close (0.25-0.5 mi),94.05594405594405,67.83216783216784,36.01398601398601,94.05594405594405,50.349650349650354,73.54895104895104,17,Tier 1 - Critical (Top 10%)
07X049,P.S. 049 Willis Avenue,Elementary,531.0,Hunts Point - Mott Haven,40.810413,-73.92273,34.46327591,192.3,0.9125,0.95,0.41154883516208235,Close (0.25-0.5 mi),94.05594405594405,40.20979020979021,75.87412587412588,94.05594405594405,47.2027972027972,73.53146853146853,18,Tier 1 - Critical (Top 10%)
07X551,The Urban Assembly Bronx Academy of Letters,High School,436.0,High Bridge - Morrisania,40.813681,-73.925995,63.76146698,178.0,0.8775,0.92,0.25346085311135386,Close (0.25-0.5 mi),78.84615384615384,98.95104895104895,63.286713286713294,78.84615384615384,25.524475524475527,72.53496503496504,19,Tier 1 - Critical (Top 10%)
09X132,P.S. 132 Garret A. Morgan,Elementary,400.0,High Bridge - Morrisania,40.832175,-73.907133,58.0,178.0,0.8775,0.92,0.28328614486504944,Close (0.25-0.5 mi),78.84615384615384,97.55244755244755,53.84615384615385,78.84615384615384,28.671328671328673,71.31118881118883,20,Tier 1 - Critical (Top 10%)
08X140,P.S. X140 The Eagle School,Elementary,390.0,High Bridge - Morrisania,40.823318,-73.907489,53.84615326,178.0,0.8775,0.92,0.34137599639026,Close (0.25-0.5 mi),78.84615384615384,95.1048951048951,49.3006993006993,78.84615384615384,36.01398601398601,71.24125874125873,21,Tier 1 - Critical (Top 10%)
12X248,"Metropolitan High School, The",High School,205.0,Hunts Point - Mott Haven,40.827539,-73.896925,61.95121765,192.3,0.9125,0.95,0.1775154447766451,Very Close (<0.25 mi),94.05594405594405,98.6013986013986,16.083916083916083,94.05594405594405,11.888111888111888,70.94405594405595,22,Tier 1 - Critical (Top 10%)
09X053,P.S. 053 Basheer Quisim,Elementary,691.0,High Bridge - Morrisania,40.832648,-73.911906,40.08683014,178.0,0.8775,0.92,0.37731163888098385,Close (0.25-0.5 mi),78.84615384615384,60.83916083916085,87.41258741258741,78.84615384615384,41.25874125874126,70.89160839160839,23,Tier 1 - Critical (Top 10%)
12X214,P.S. 214,Elementary,927.0,Crotona - Tremont,40.839297,-73.879931,48.22006607,171.9,0.8524999999999999,0.88,0.5958379949786706,Moderate (0.5-1 mi),57.692307692307686,85.66433566433567,96.85314685314685,57.692307692307686,67.3076923076923,70.60314685314684,24,Tier 1 - Critical (Top 10%)
07X043,P.S. 043 Jonas Bronck,Elementary,394.0,Hunts Point - Mott Haven,40.806452,-73.921593,26.90355301,192.3,0.9125,0.95,0.6876688072885816,Moderate (0.5-1 mi),94.05594405594405,23.076923076923077,50.6993006993007,94.05594405594405,74.47552447552448,70.41958041958041,25,Tier 1 - Critical (Top 10%)
07X600,Alfred E. Smith Career and Technical Education Hig,Other,418.0,High Bridge - Morrisania,40.818645,-73.919949,56.45933151,178.0,0.8775,0.92,0.21303154765431873,Very Close (<0.25 mi),78.84615384615384,96.15384615384616,59.96503496503497,78.84615384615384,18.181818181818183,70.37587412587413,26,Tier 1 - Critical (Top 10%)
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,Middle School,827.0,High Bridge - Morrisania,40.835681,-73.919571,34.09915543,178.0,0.8775,0.92,0.49674678449263976,Close (0.25-0.5 mi),78.84615384615384,39.51048951048951,94.05594405594405,78.84615384615384,57.692307692307686,70.08741258741259,27,Tier 1 - Critical (Top 10%)
07X277,P.S. 277,Elementary,388.0,Hunts Point - Mott Haven,40.813385,-73.913872,37.62886429,192.3,0.9125,0.95,0.3423623388161283,Close (0.25-0.5 mi),94.05594405594405,50.6993006993007,47.9020979020979,94.05594405594405,36.71328671328671,69.86013986013987,28,Tier 1 - Critical (Top 10%)
07X179,P.S. 179,Elementary,230.0,Hunts Point - Mott Haven,40.80908,-73.919773,37.82608795,192.3,0.9125,0.95,0.5263540874809388,Moderate (0.5-1 mi),94.05594405594405,51.74825174825175,18.88111888111888,94.05594405594405,63.46153846153846,69.72902097902097,29,Tier 2 - High (10-25%)
08X302,M.S. 302 Luisa Dessus Cruz,Middle School,353.0,Hunts Point - Mott Haven,40.816078,-73.901599,32.57790375,192.3,0.9125,0.95,0.5171345113592438,Moderate (0.5-1 mi),94.05594405594405,35.31468531468531,41.95804195804196,94.05594405594405,61.88811188811189,69.66783216783217,30,Tier 2 - High (10-25%)
07X065,P.S. 065 Mother Hale Academy,Elementary,246.0,Hunts Point - Mott Haven,40.807916,-73.912557,32.92683029,192.3,0.9125,0.95,0.7012798392960091,Moderate (0.5-1 mi),94.05594405594405,37.06293706293706,20.97902097902098,94.05594405594405,77.62237762237763,69.23076923076923,31,Tier 2 - High (10-25%)
