dbn,school_name,lat,lon,uhf_name,distance_to_nearest_mshp_miles,nearest_mshp_dbn,nearest_mshp_name,walking_time_mins,accessibility_tier
11X249,Bronx Health Sciences High School,40.874035,-73.831669,Northeast Bronx,0.9268206870715487,11X355,Bronx Alliance Middle School,18.536413741430977,Moderate (0.5-1 mi)
09X250,Eximius College Preparatory Academy: A College Boa,40.833884,-73.902794,High Bridge - Morrisania,0.1816751939591389,09X055,P.S. 055 Benjamin Franklin,3.633503879182778,Very Close (<0.25 mi)
09X252,Mott Hall Bronx High School,40.839508,-73.901774,Crotona - Tremont,0.15238523598517564,09X313,I.S. 313 School of Leadership Development,3.0477047197035128,Very Close (<0.25 mi)
11X253,Bronx High School for Writing and Communication Ar,40.875172,-73.861649,Fordham - Bronx Park,0.0,11X275,High School of Computers and Technology,0.0,
10X254,I.S. 254,40.858721,-73.889878,Fordham - Bronx Park,0.08329349737817254,10X243,West Bronx Academy for the Future,1.6658699475634509,Very Close (<0.25 mi)
07X259,"H.E.R.O. High (Health, Education, and Research Occ",40.810671,-73.907528,Hunts Point - Mott Haven,0.5526470461951304,07X473,Mott Haven Village Preparatory High School,11.052940923902607,Moderate (0.5-1 mi)
09X260,Bronx Center for Science and Mathematics,40.833884,-73.902794,High Bridge - Morrisania,0.1816751939591389,09X055,P.S. 055 Benjamin Franklin,3.633503879182778,Very Close (<0.25 mi)
09X263,Validus Preparatory Academy,40.839508,-73.901774,Crotona - Tremont,0.15238523598517564,09X313,I.S. 313 School of Leadership Development,3.0477047197035128,Very Close (<0.25 mi)
10X264,Bronx Academy for Software Engineering (BASE),40.855392,-73.882487,Fordham - Bronx Park,0.426783051825392,10X243,West Bronx Academy for the Future,8.53566103650784,Close (0.25-0.5 mi)
12X267,Bronx Latin,40.826933,-73.900593,High Bridge - Morrisania,0.10472985459682765,12X463,Urban Scholars Community School,2.094597091936553,Very Close (<0.25 mi)
08X269,Bronx Studio School for Writers and Artists,40.820388,-73.892961,Hunts Point - Mott Haven,0.13673501878722502,12X217,School of Performing Arts,2.7347003757445005,Very Close (<0.25 mi)
11X270,Academy for Scholarship and Entrepreneurship: A Co,40.888242,-73.852714,Northeast Bronx,0.6520672073064693,11X287,North Bronx School of Empowerment,13.041344146129386,Moderate (0.5-1 mi)
12X271,East Bronx Academy for the Future,40.836821,-73.887688,Crotona - Tremont,0.15689435380670635,12X251,Explorations Academy H.S.,3.137887076134127,Very Close (<0.25 mi)
12X273,Frederick Douglass Academy V. Middle School,40.848748,-73.888987,Crotona - Tremont,0.7408295424794681,10X243,West Bronx Academy for the Future,14.816590849589362,Moderate (0.5-1 mi)
07X277,P.S. 277,40.813385,-73.913872,Hunts Point - Mott Haven,0.3423623388161283,07X473,Mott Haven Village Preparatory High School,6.847246776322566,Close (0.25-0.5 mi)
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",40.854666,-73.904958,Crotona - Tremont,0.44085853757040067,09X028,P.S. 028 Mount Hope,8.817170751408014,Close (0.25-0.5 mi)
10X280,P.S./M.S. 280 Mosholu Parkway,40.876819,-73.881245,Fordham - Bronx Park,0.3335391944853569,10X008,P.S. 008 Isaac Varian,6.670783889707138,Close (0.25-0.5 mi)
10X284,Bronx School of Law and Finance,40.877379,-73.912686,Kingsbridge - Riverdale,0.9982001892234688,10X268,Kingsbridge International High School,19.964003784469377,Moderate (0.5-1 mi)
12X286,Fannie Lou Hamer Middle School,40.831493,-73.88654,Crotona - Tremont,0.39072751989119636,12X251,Explorations Academy H.S.,7.814550397823927,Close (0.25-0.5 mi)
10X291,P.S. 291,40.859243,-73.909763,Crotona - Tremont,0.7786382692118179,09X229,I.S. 229 Roland Patterson,15.572765384236359,Moderate (0.5-1 mi)
09X294,The Walton Avenue School,40.8404,-73.915879,High Bridge - Morrisania,0.14570681984496964,09X327,Comprehensive Model School Project M.S. 327,2.9141363968993925,Very Close (<0.25 mi)
07X296,South Bronx Academy for Applied Media,40.818703,-73.905389,High Bridge - Morrisania,0.3297001445980488,07X473,Mott Haven Village Preparatory High School,6.594002891960976,Close (0.25-0.5 mi)
07X298,Academy of Public Relations,40.818703,-73.905389,High Bridge - Morrisania,0.3297001445980488,07X473,Mott Haven Village Preparatory High School,6.594002891960976,Close (0.25-0.5 mi)
12X300,The School of Science and Applied Learning,40.846128,-73.886721,Crotona - Tremont,0.7122262626400467,12X251,Explorations Academy H.S.,14.244525252800935,Moderate (0.5-1 mi)
