dbn,school_name,uhf_name,has_mshp,health_burden_weighted,health_burden_rank,burden_tier,asthma_ed_rate,childhood_obesity_pct,youth_mental_health_ed_rate,lead_elevated_pct,food_insecurity_pct,enrollment
09X128,Mott Hall III,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,294.0
09X126,P.S. 126 Dr Marjorie H Dunbar,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,582.0
09X443,The Family School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,438.0
09X323,Bronx Writing Academy,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,212.0
09X114,P.S. X114 - Luis Llorens Torres Schools,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,540.0
09X110,P.S. 110 Theodore Schoenfeld,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,332.0
09X449,Grant Avenue Elementary School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,384.0
09X454,Science and Technology Academy: A Mott Hall School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,372.0
07X298,Academy of Public Relations,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,147.0
09X457,Sheridan Academy for Young Leaders,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,447.0
08X301,M.S. 301 Paul L. Dunbar,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,173.0
09X361,The Highbridge Green School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,416.0
09X297,Morris Academy for Collaborative Studies,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,459.0
09X199,P.S. 199X - The Shakespeare School,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,416.0
08X140,P.S. X140 The Eagle School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,390.0
09X324,Bronx Early College Academy for Teaching & Learnin,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,376.0
12X463,Urban Scholars Community School,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,322.0
07X379,Jill Chaifetz Transfer High School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,
07X381,Bronx Haven High School,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,827.0
12X267,Bronx Latin,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,485.0
09X170,P.S. 170,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,152.0
09X403,Bronx International High School,High Bridge - Morrisania,True,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,466.0
08X146,P.S. 146 Edward Collins,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,321.0
09X404,School for Excellence,High Bridge - Morrisania,False,80.0,2,Very High,178.0,32.8,158.3,3.8,35.8,
