dbn,pct_poverty,pct_ell,pct_swd,pct_black,pct_hispanic,pct_white,pct_asian
12X300,0.9470000000000001,0.154,0.275,0.355,0.612,0.015,0.004
08X302,0.946,0.173,0.362,0.176,0.811,0.005,0.0
10X360,0.87,0.202,0.205,0.09,0.899,0.006,0.003
07X495,0.845,0.035,0.199,0.277,0.593,0.021,0.068
07X018,0.96,0.282,0.24,0.268,0.655,0.058,0.003
09X449,0.925,0.271,0.273,0.271,0.633,0.035,0.029
08X301,0.9159999999999999,0.114,0.341,0.359,0.623,0.0,0.0
11X462,0.81,0.055,0.275,0.605,0.345,0.01,0.015
12X480,0.9159999999999999,0.065,0.196,0.439,0.523,0.0,0.019
10X340,0.9059999999999999,0.286,0.274,0.085,0.87,0.019,0.017
11X249,0.838,0.074,0.146,0.522,0.327,0.022,0.077
08X293,0.782,0.054,0.249,0.221,0.704,0.047,0.009
10X439,0.91,0.18,0.273,0.255,0.685,0.025,0.015
09X454,0.94,0.159,0.247,0.238,0.699,0.016,0.033
07X161,0.948,0.138,0.281,0.208,0.761,0.006,0.006
12X314,0.915,0.113,0.254,0.38,0.61,0.009,0.0
08X282,0.9179999999999999,0.256,0.21,0.303,0.395,0.123,0.118
10X440,0.858,0.101,0.224,0.283,0.557,0.027,0.102
08X304,0.636,0.07,0.204,0.095,0.73,0.097,0.062
11X287,0.897,0.162,0.26,0.48,0.451,0.029,0.021
11X566,0.8390000000000001,0.064,0.273,0.558,0.352,0.042,0.042
09X361,0.96,0.27,0.236,0.218,0.766,0.013,0.0
10X205,0.924,0.3,0.234,0.111,0.808,0.054,0.017
09X365,0.96,0.908,0.042,0.0,1.0,0.0,0.0
07X473,0.96,0.165,0.29,0.29,0.68,0.0,0.025
07X043,0.96,0.166,0.193,0.218,0.739,0.009,0.009
08X333,0.929,0.203,0.271,0.244,0.72,0.018,0.005
10X442,0.775,0.044,0.215,0.304,0.623,0.023,0.016
09X403,0.865,0.892,0.033,0.168,0.784,0.021,0.021
12X286,0.884,0.213,0.322,0.243,0.697,0.034,0.011
08X072,0.828,0.081,0.259,0.196,0.671,0.062,0.063
08X320,0.785,0.112,0.254,0.215,0.625,0.059,0.074
10X315,0.9209999999999999,0.173,0.183,0.119,0.812,0.03,0.02
09X404,0.96,0.207,0.261,0.36,0.577,0.045,0.009
07X179,0.932,0.162,0.201,0.226,0.761,0.009,0.0
09X412,0.9129999999999999,0.326,0.259,0.265,0.709,0.012,0.015
08X312,0.8170000000000001,0.045,0.23,0.264,0.681,0.018,0.016
10X206,0.9420000000000001,0.413,0.322,0.096,0.885,0.01,0.005
09X413,0.878,0.145,0.298,0.236,0.681,0.017,0.052
11X355,0.852,0.049,0.293,0.662,0.304,0.011,0.015
11X545,0.807,0.146,0.251,0.357,0.561,0.041,0.029
10X207,0.848,0.29,0.176,0.067,0.815,0.067,0.041
08X131,0.866,0.125,0.262,0.268,0.638,0.015,0.055
09X555,0.938,0.227,0.153,0.155,0.823,0.007,0.002
10X353,0.836,0.277,0.199,0.205,0.712,0.015,0.048
12X318,0.96,0.198,0.296,0.265,0.722,0.0,0.006
08X138,0.866,0.081,0.204,0.219,0.703,0.015,0.036
10X225,0.848,0.091,0.25,0.268,0.697,0.011,0.014
11X542,0.752,0.069,0.258,0.29,0.534,0.071,0.075
09X564,0.823,0.88,0.099,0.174,0.772,0.012,0.03
09X568,0.852,0.082,0.178,0.269,0.653,0.017,0.045
11X299,0.8290000000000001,0.12,0.216,0.267,0.462,0.151,0.091
08X140,0.9490000000000001,0.092,0.203,0.322,0.651,0.012,0.002
07X522,0.9109999999999999,0.132,0.426,0.291,0.69,0.004,0.008
09X582,0.725,0.0,0.253,0.275,0.637,0.044,0.044
11X253,0.8170000000000001,0.153,0.247,0.426,0.485,0.03,0.034
08X130,0.9,0.197,0.197,0.177,0.81,0.01,0.0
10X434,0.8590000000000001,0.107,0.228,0.233,0.685,0.028,0.031
09X593,0.96,0.771,0.167,0.153,0.84,0.0,0.007
10X291,0.96,0.306,0.217,0.067,0.908,0.018,0.007
12X341,0.96,0.222,0.306,0.218,0.732,0.025,0.011
10X437,0.8009999999999999,0.038,0.237,0.311,0.611,0.03,0.03
10X284,0.8640000000000001,0.148,0.208,0.202,0.729,0.028,0.016
09X457,0.96,0.234,0.229,0.282,0.671,0.011,0.025
08X062,0.96,0.16,0.253,0.183,0.795,0.014,0.0
08X269,0.882,0.139,0.237,0.191,0.781,0.019,0.006
10X209,0.96,0.248,0.158,0.185,0.806,0.005,0.005
09X505,0.92,0.14,0.239,0.217,0.754,0.006,0.013
09X517,0.9059999999999999,0.2,0.31,0.392,0.58,0.012,0.004
07X600,0.894,0.167,0.321,0.268,0.695,0.009,0.011
08X182,0.8370000000000001,0.086,0.175,0.259,0.619,0.055,0.051
10X438,0.865,0.14,0.285,0.232,0.72,0.019,0.017
11X544,0.858,0.172,0.333,0.389,0.535,0.03,0.013
12X316,0.937,0.092,0.276,0.263,0.698,0.016,0.016
07X157,0.96,0.07,0.243,0.222,0.644,0.004,0.0
08X152,0.91,0.371,0.179,0.13,0.823,0.011,0.015
10X213,0.885,0.129,0.304,0.302,0.606,0.039,0.047
07X500,0.855,0.057,0.225,0.251,0.716,0.007,0.018
12X595,0.909,0.272,0.21,0.221,0.739,0.014,0.0
09X525,0.9309999999999999,0.146,0.329,0.32,0.634,0.02,0.009
08X146,0.96,0.16,0.203,0.288,0.628,0.061,0.006
11X455,0.7909999999999999,0.076,0.253,0.453,0.454,0.035,0.037
09X543,0.922,0.21,0.323,0.293,0.671,0.006,0.0
07X551,0.943,0.15,0.282,0.318,0.637,0.03,0.007
11X532,0.855,0.104,0.263,0.595,0.339,0.021,0.01
11X021,0.884,0.11,0.211,0.535,0.379,0.026,0.041
08X405,0.7959999999999999,0.116,0.244,0.275,0.527,0.076,0.094
08X452,0.91,0.19,0.257,0.297,0.59,0.047,0.06
11X481,0.867,0.294,0.147,0.094,0.549,0.168,0.178
12X057,0.9009999999999999,0.181,0.222,0.295,0.643,0.022,0.007
07X224,0.96,0.175,0.336,0.288,0.668,0.009,0.013
09X294,0.9129999999999999,0.202,0.257,0.157,0.805,0.015,0.002
08X448,0.83,0.085,0.3,0.275,0.686,0.02,0.008
08X075,0.861,0.193,0.231,0.214,0.734,0.013,0.013
09X297,0.96,0.128,0.276,0.234,0.737,0.015,0.009
11X189,0.857,0.034,0.177,0.514,0.442,0.024,0.007
10X524,0.738,0.914,0.052,0.025,0.938,0.012,0.022
08X432,0.88,0.796,0.12,0.09,0.757,0.03,0.111
10X308,0.9,0.147,0.259,0.183,0.765,0.024,0.02
09X303,0.96,0.126,0.274,0.287,0.703,0.006,0.0
12X047,0.96,0.316,0.17,0.193,0.625,0.017,0.131
12X251,0.8690000000000001,0.213,0.304,0.264,0.711,0.009,0.006
08X424,0.9390000000000001,0.259,0.354,0.186,0.802,0.011,0.0
10X095,0.856,0.169,0.219,0.155,0.717,0.046,0.061
