dbn,school_name,year,enrollment,chronic_absenteeism_rate
09X088,P.S. X088 - S. Silverstein Little Sparrow School,2024-25,104,29.80769157
09X109,P.S. 109 Sedgwick,2024-25,455,50.32966995
09X110,P.S. 110 Theodore Schoenfeld,2024-25,332,47.59036255
09X114,P.S. X114 - Luis Llorens Torres Schools,2024-25,540,41.11111069
09X117,I.S. 117 Joseph H. Wade,2024-25,365,38.08219147
09X126,P.S. 126 Dr Marjorie H Dunbar,2024-25,582,52.4054985
09X128,Mott Hall III,2024-25,294,47.95918274
09X132,P.S. 132 Garret A. Morgan,2024-25,400,58
09X163,P.S. 163 Arthur A. Schomburg,2024-25,343,35.56851196
09X170,P.S. 170,2024-25,152,28.94736862
09X199,P.S. 199X - The Shakespeare School,2024-25,416,32.45192337
09X204,P.S. 204 Morris Heights,2024-25,610,33.11475372
09X215,Kappa,2024-25,161,23.60248375
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,2024-25,827,34.09915543
09X219,I.S. 219 New Venture School,2024-25,274,37.2262764
09X227,Bronx Collegiate Academy,2024-25,454,37.00440598
09X229,I.S. 229 Roland Patterson,2024-25,184,37.5
09X231,Eagle Academy for Young Men,2024-25,457,17.06783295
09X232,I.S. 232,2024-25,279,29.39068031
09X236,P.S. 236 Langston Hughes,2024-25,343,37.31778336
09X241,Urban Assembly School for Applied Math and Science,2024-25,541,57.67097855
09X250,Eximius College Preparatory Academy: A College Boa,2024-25,377,42.97082138
09X252,Mott Hall Bronx High School,2024-25,335,48.95522308
09X260,Bronx Center for Science and Mathematics,2024-25,397,36.27204132
09X263,Validus Preparatory Academy,2024-25,308,56.49350739
09X274,The New American Academy at Roberto Clemente State,2024-25,381,45.66929245
09X294,The Walton Avenue School,2024-25,324,38.27160645
09X297,Morris Academy for Collaborative Studies,2024-25,459,56.4270134
09X303,I.S. X303 Leadership & Community Service,2024-25,306,24.50980377
09X311,Lucero Elementary School,2024-25,321,38.0062294
09X313,I.S. 313 School of Leadership Development,2024-25,124,35.48387146
09X323,Bronx Writing Academy,2024-25,212,35.37735748
09X324,Bronx Early College Academy for Teaching & Learnin,2024-25,376,39.36170197
09X327,Comprehensive Model School Project M.S. 327,2024-25,697,42.03730392
09X328,New Millennium Bronx Academy of the Arts,2024-25,133,31.57894707
09X329,DreamYard Preparatory School,2024-25,320,34.6875
09X339,I.S. 339,2024-25,201,18.40796089
09X361,The Highbridge Green School,2024-25,416,27.40384674
09X365,Academy for Language and Technology,2024-25,380,25.78947449
09X403,Bronx International High School,2024-25,466,62.01716614
09X404,School for Excellence,2024-25,s,s
09X412,Bronx High School of Business,2024-25,323,54.79876328
09X413,Bronx High School for Medical Science,2024-25,411,26.03406334
09X443,The Family School,2024-25,438,41.55251312
09X449,Grant Avenue Elementary School,2024-25,384,40.36458206
09X454,Science and Technology Academy: A Mott Hall School,2024-25,372,36.29032135
09X457,Sheridan Academy for Young Leaders,2024-25,447,40.49216843
09X505,"Bronx School for Law, Government and Justice",2024-25,714,32.35293961
09X517,Frederick Douglass Academy III Secondary School,2024-25,262,30.53435135
09X525,Bronx Leadership Academy High School,2024-25,393,39.44020462
09X543,High School for Violin and Dance,2024-25,146,37.67123413
09X555,Mount Eden Children's Academy,2024-25,411,26.27737236
09X564,Claremont International HS,2024-25,499,35.87174225
09X568,Young Women's Leadership School of the Bronx,2024-25,504,33.13492203
09X582,Garden of Learning and Discovery Pre-K Center,2024-25,228,59.21052551
09X593,South Bronx International Middle School,2024-25,152,12.5
09X594,New Pathways Academy,2024-25,158,27.21518898
09X644,Bronx Debate Academy,2024-25,134,41.79104614
10X003,P.S. 3 Raul Julia Micro Society,2024-25,325,44.30769348
10X007,Milton Fein School,2024-25,391,22.25063896
10X008,P.S. 008 Isaac Varian,2024-25,692,37.57225418
10X009,P.S. 9 Ryer Avenue Elementary School,2024-25,523,38.24091721
10X015,P.S. X015 Institute for Environmental Learning,2024-25,396,32.32323074
10X020,"PS/MS 20 P.O.George J. Werdann, III",2024-25,863,43.80069351
10X023,P.S. 023 The New Children's School,2024-25,387,41.860466
10X024,P.S. 024 Spuyten Duyvil,2024-25,755,12.847682
10X032,P.S. 032 Belmont,2024-25,598,48.32775879
10X033,P.S. 033 Timothy Dwight,2024-25,849,49.70553589
10X037,P.S. X037 - Multiple Intelligence School,2024-25,485,53.81443405
10X045,Thomas C. Giordano Middle School 45,2024-25,467,39.61455917
10X046,P.S. 046 Edgar Allan Poe,2024-25,663,30.46757126
10X051,The Bronx STEM and Arts Academy,2024-25,155,41.29032135
10X054,P.S./I.S. 54,2024-25,374,37.96791458
10X056,P.S. 056 Norwood Heights,2024-25,662,39.42598343
10X059,P.S. 059 The Community School of Technology,2024-25,417,43.88489151
10X077,Bedford Park Elementary School,2024-25,468,42.30769348
10X080,J.H.S. 080 The Mosholu Parkway,2024-25,621,36.39291382
10X081,P.S. 081 Robert J. Christen,2024-25,734,24.11444092
10X085,P.S. 085 Great Expectations,2024-25,786,33.07888031
10X086,P.S. 086 Kingsbridge Heights,2024-25,1163,37.40326691
10X091,P.S. 091 Bronx,2024-25,398,43.96984863
10X094,P.S. 094 Kings College School,2024-25,813,40.95940781
10X095,P.S. 095 Sheila Mencher,2024-25,924,43.07359314
10X118,J.H.S. 118 William W. Niles,2024-25,520,34.23077011
10X141,Riverdale / Kingsbridge Academy (Middle School / H,2024-25,1425,18.87719345
10X159,P.S. 159 Luis Munoz Marin Biling,2024-25,146,27.39726067
10X205,P.S. 205 Fiorello LaGuardia,2024-25,594,41.41414261
10X206,I.S. 206 Ann Mersereau,2024-25,258,31.78294563
10X207,P.S. 207,2024-25,423,42.55319214
10X209,P.S. 209,2024-25,168,28.5714283
10X213,Bronx Engineering and Technology Academy,2024-25,344,56.3953476
10X225,Theatre Arts Production Company School,2024-25,433,51.50115585
10X226,P.S. 226,2024-25,342,28.36257362
10X228,Jonas Bronck Academy,2024-25,396,18.939394
10X237,"The Marie Curie High School for Medicine, Nursing,",2024-25,287,45.99303055
10X243,West Bronx Academy for the Future,2024-25,597,29.64824104
10X244,The New School for Leadership and Journalism,2024-25,615,32.03252029
10X246,P.S. 246 Poe Center,2024-25,497,47.48490906
10X254,I.S. 254,2024-25,452,31.63716888
10X264,Bronx Academy for Software Engineering (BASE),2024-25,390,52.56410217
10X268,Kingsbridge International High School,2024-25,231,43.72294235
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2024-25,679,26.36229706
10X280,P.S./M.S. 280 Mosholu Parkway,2024-25,727,42.91609192
10X284,Bronx School of Law and Finance,2024-25,362,50.82872772
10X291,P.S. 291,2024-25,335,38.80596924
10X306,P.S. 306,2024-25,416,30.52884674
10X308,Bronx Dance Academy School,2024-25,277,42.23826599
10X310,P.S. 310 Marble Hill,2024-25,471,39.91507339
10X315,P.S. 315 Lab School,2024-25,217,34.56221008
10X331,The Bronx School of Young Leaders,2024-25,372,34.94623566
10X340,P.S. 340,2024-25,604,36.25827789
10X342,International School for Liberal Arts,2024-25,494,35.0202446
10X344,Ampark Neighborhood,2024-25,310,22.90322495
10X351,Bronx Collaborative High School,2024-25,465,76.55914307
10X353,World View High School,2024-25,661,39.6369133
10X360,P.S. 360,2024-25,305,42.62295151
10X363,Academy For Personal Leadership And Excellence,2024-25,857,43.40723419
10X368,In-Tech Academy (M.S. / High School 368),2024-25,995,24.92462349
10X374,Knowledge and Power Preparatory Academy Internatio,2024-25,477,50.94339752
10X386,School for Environmental Citizenship,2024-25,597,26.13065338
10X390,M.S. 390,2024-25,333,26.12612534
10X391,The Angelo Patri Middle School,2024-25,381,32.8083992
10X396,P.S. 396,2024-25,241,22.4066391
10X433,High School for Teaching and the Professions,2024-25,364,32.96703339
10X434,Belmont Preparatory High School,2024-25,337,48.36795425
10X437,Fordham High School for the Arts,2024-25,351,24.21652412
10X438,Fordham Leadership Academy,2024-25,390,35.38461685
10X439,Bronx High School for Law and Community Service,2024-25,381,34.90813828
10X440,DeWitt Clinton High School,2024-25,1279,29.08522224
